acc_date	doc_text	sum_doc	my_debit	my_credit
06.02.2021	Акт №339 от 06.02.2021 (Счет-фактура №339 от 06.02.2021)	30000.00	-	30000.00
19.02.2021	Акт №454 от 19.02.2021 (Счет-фактура №454 от 19.02.2021)	23000.00	-	23000.00
19.02.2021	Платежное поручение №1022 от 19.02.2021	674000.00	674000.00	-
19.02.2021	Платежное поручение №1037 от 19.02.2021	162000.00	162000.00	-
19.02.2021	Платежное поручение №1038 от 19.02.2021	467000.00	467000.00	-
25.02.2021	Платежное поручение №1137 от 25.02.2021	541000.00	541000.00	-
25.02.2021	Платежное поручение №1138 от 25.02.2021	692000.00	692000.00	-
05.03.2021	Платежное поручение №1341 от 05.03.2021	590000.00	590000.00	-
05.03.2021	Платежное поручение №1344 от 05.03.2021	664000.00	664000.00	-
05.03.2021	Платежное поручение №1345 от 05.03.2021	569000.00	569000.00	-
05.03.2021	Платежное поручение №1348 от 05.03.2021	632000.00	632000.00	-
16.03.2021	Платежное поручение №1635 от 16.03.2021	1045335.60	1045335.60	-
16.03.2021	Платежное поручение №1636 от 16.03.2021	902000.00	902000.00	-
19.03.2021	Платежное поручение №1718 от 19.03.2021	724000.00	724000.00	-
19.03.2021	Платежное поручение №1719 от 19.03.2021	720000.00	720000.00	-
19.03.2021	Платежное поручение №1720 от 19.03.2021	478000.00	478000.00	-
29.03.2021	Платежное поручение №1976 от 29.03.2021	930000.00	930000.00	-
29.03.2021	Платежное поручение №1983 от 29.03.2021	719000.00	719000.00	-
29.03.2021	Платежное поручение №1984 от 29.03.2021	714000.00	714000.00	-
01.04.2021	Акт №172 от 22.01.2021 (Счет-фактура №172 от 22.01.2021)	35000.00	-	35000.00
01.04.2021	Акт №209 от 08.02.2021 (Счет-фактура №209 от 08.02.2021)	35000.00	-	35000.00
01.04.2021	Акт №211 от 31.01.2021 (Счет-фактура №211 от 31.01.2021)	35000.00	-	35000.00
01.04.2021	Акт №212 от 25.01.2021 (Счет-фактура №212 от 25.01.2021)	37000.00	-	37000.00
01.04.2021	Акт №213 от 20.01.2021 (Счет-фактура №213 от 20.01.2021)	35000.00	-	35000.00
