acc_date	doc_text	debit	credit
19.01.21	Приход (171 от 19.01.2021)	-	37000.00
19.01.21	Приход (218 от 19.01.2021)	-	8000.00
20.01.21	Приход (986 от 20.01.2021)	-	35000.00
20.01.21	Приход (213 от 20.01.2021)	-	35000.00
20.01.21	Приход (215 от 20.01.2021)	-	35000.00
20.01.21	Приход (219 от 20.01.2021)	-	8000.00
20.01.21	Приход (234 от 20.01.2021)	-	37000.00
20.01.21	Приход (242 от 20.01.2021)	-	37000.00
20.01.21	Приход (258 от 20.01.2021)	-	37000.00
20.01.21	Приход (306 от 20.01.2021)	-	35000.00
20.01.21	Приход (333 от 20.01.2021)	-	35000.00
20.01.21	Приход (551 от 20.01.2021)	-	37000.00
21.01.21	Приход (985 от 21.01.2021)	-	35000.00
21.01.21	Приход (216 от 21.01.2021)	-	15000.00
21.01.21	Приход (220 от 21.01.2021)	-	37000.00
21.01.21	Приход (233 от 21.01.2021)	-	35000.00
21.01.21	Приход (238 от 21.01.2021)	-	37000.00
21.01.21	Приход (243 от 21.01.2021)	-	35000.00
21.01.21	Приход (256 от 21.01.2021)	-	37000.00
21.01.21	Приход (298 от 21.01.2021)	-	35000.00
21.01.21	Приход (330 от 21.01.2021)	-	37000.00
21.01.21	Приход (334 от 21.01.2021)	-	73000.00
21.01.21	Приход (336 от 21.01.2021)	-	50000.00
22.01.21	Приход (172 от 22.01.2021)	-	35000.00
22.01.21	Приход (237 от 22.01.2021)	-	20000.00
22.01.21	Приход (241 от 22.01.2021)	-	37000.00
22.01.21	Приход (259 от 22.01.2021)	-	35000.00
22.01.21	Приход (260 от 22.01.2021)	-	35000.00
22.01.21	Приход (310 от 22.01.2021)	-	35000.00
22.01.21	Приход (319 от 22.01.2021)	-	37000.00
22.01.21	Приход (320 от 22.01.2021)	-	35000.00
22.01.21	Приход (325 от 22.01.2021)	-	35000.00
22.01.21	Приход (331 от 22.01.2021)	-	35000.00
22.01.21	Приход (435 от 22.01.2021)	-	35000.00
23.01.21	Приход (235 от 23.01.2021)	-	35000.00
23.01.21	Приход (236 от 23.01.2021)	-	35000.00
23.01.21	Приход (239 от 23.01.2021)	-	35000.00
23.01.21	Приход (240 от 23.01.2021)	-	37000.00
23.01.21	Приход (244 от 23.01.2021)	-	8000.00
23.01.21	Приход (255 от 23.01.2021)	-	35000.00
23.01.21	Приход (257 от 23.01.2021)	-	37000.00
23.01.21	Приход (311 от 23.01.2021)	-	35000.00
23.01.21	Приход (326 от 23.01.2021)	-	35000.00
24.01.21	Приход (293 от 24.01.2021)	-	35000.00
24.01.21	Приход (300 от 24.01.2021)	-	35000.00
24.01.21	Приход (309 от 24.01.2021)	-	35000.00
24.01.21	Приход (321 от 24.01.2021)	-	35000.00
24.01.21	Приход (323 от 24.01.2021)	-	35000.00
24.01.21	Приход (332 от 24.01.2021)	-	35000.00
24.01.21	Приход (419 от 24.01.2021)	-	35000.00
25.01.21	Приход (212 от 25.01.2021)	-	37000.00
25.01.21	Приход (245 от 25.01.2021)	-	8000.00
25.01.21	Приход (252 от 25.01.2021)	-	37000.00
25.01.21	Приход (302 от 25.01.2021)	-	35000.00
25.01.21	Приход (307 от 25.01.2021)	-	35000.00
25.01.21	Приход (314 от 25.01.2021)	-	35000.00
25.01.21	Приход (335 от 25.01.2021)	-	145000.00
25.01.21	Приход (424 от 25.01.2021)	-	37000.00
26.01.21	Приход (246 от 26.01.2021)	-	8000.00
26.01.21	Приход (249 от 26.01.2021)	-	35000.00
26.01.21	Приход (253 от 26.01.2021)	-	35000.00
26.01.21	Приход (294 от 26.01.2021)	-	35000.00
26.01.21	Приход (301 от 26.01.2021)	-	35000.00
26.01.21	Приход (303 от 26.01.2021)	-	80000.00
26.01.21	Приход (304 от 26.01.2021)	-	35000.00
26.01.21	Приход (315 от 26.01.2021)	-	35000.00
26.01.21	Приход (317 от 26.01.2021)	-	35000.00
26.01.21	Приход (416 от 26.01.2021)	-	37000.00
27.01.21	Приход (254 от 27.01.2021)	-	8000.00
27.01.21	Приход (337 от 27.01.2021)	-	37000.00
27.01.21	Приход (423 от 27.01.2021)	-	35000.00
28.01.21	Приход (247 от 28.01.2021)	-	35000.00
28.01.21	Приход (248 от 28.01.2021)	-	35000.00
28.01.21	Приход (412 от 28.01.2021)	-	35000.00
28.01.21	Приход (432 от 28.01.2021)	-	37000.00
28.01.21	Приход (434 от 28.01.2021)	-	35000.00
28.01.21	Приход (662 от 28.01.2021)	-	35000.00
29.01.21	Приход (403 от 29.01.2021)	-	35000.00
29.01.21	Приход (406 от 29.01.2021)	-	35000.00
30.01.21	Приход (292 от 30.01.2021)	-	35000.00
31.01.21	Приход (211 от 31.01.2021)	-	35000.00
